group_key,Артикул,Тип,Назва_пристрою,Файл_картинки,URL_картинки
hd20565,hd20565,Багаторазові пристрої/Картриджи,Акумулятор 18650 HG2 3000 mAh,kartrydzhi/hd20565.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd20565.jpg
hd9996,hd9996,Багаторазові пристрої/Картриджи,"Випарник Elf Bar FB1000 (0,8 Ом )",kartrydzhi/hd9996.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd9996.jpg
hd21669,hd19551,Багаторазові пристрої/Картриджи,Випарник Joyetech EN,kartrydzhi/hd21669.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd21669.jpg
hd21669,hd19552,Багаторазові пристрої/Картриджи,Випарник Joyetech EN,kartrydzhi/hd21669.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd21669.jpg
hd21669,hd21669,Багаторазові пристрої/Картриджи,Випарник Joyetech EN,kartrydzhi/hd21669.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd21669.jpg
hd19555,hd19555,Багаторазові пристрої/Картриджи,Випарник Smok LP,kartrydzhi/hd19555.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19555.jpg
hd19555,hd19553,Багаторазові пристрої/Картриджи,Випарник Smok LP,kartrydzhi/hd19555.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19555.jpg
hd19555,hd19554,Багаторазові пристрої/Картриджи,Випарник Smok LP,kartrydzhi/hd19555.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19555.jpg
hd19765,hd19765,Багаторазові пристрої/Картриджи,Випарник Smok Novo 4 LP1 Meshed 1.2 Ом,kartrydzhi/hd19765.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19765.jpg
hd19765,hd19556,Багаторазові пристрої/Картриджи,Випарник Smok Novo 4 LP1 Meshed 1.2 Ом,kartrydzhi/hd19765.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19765.jpg
hd19990,hd19990,Багаторазові пристрої/Картриджи,Випарник Smok RPM 3 Meshed,kartrydzhi/hd19990.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19990.jpg
hd19990,hd19991,Багаторазові пристрої/Картриджи,Випарник Smok RPM 3 Meshed,kartrydzhi/hd19990.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19990.jpg
hd19766,hd19766,Багаторазові пристрої/Картриджи,Випарник Voopoo PnP,kartrydzhi/hd19766.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19766.jpg
hd19766,hd21275,Багаторазові пристрої/Картриджи,Випарник Voopoo PnP,kartrydzhi/hd19766.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19766.jpg
hd19766,hd19695,Багаторазові пристрої/Картриджи,Випарник Voopoo PnP,kartrydzhi/hd19766.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19766.jpg
hd19766,hd19558,Багаторазові пристрої/Картриджи,Випарник Voopoo PnP,kartrydzhi/hd19766.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19766.jpg
